words,frequency
dagaalgeli,1
dagaalgelin,1
dagaalgelis,1
dagaali,7
dagaalid,1
dagaalin,11
dagaalina,1
dagaaliyo,3
dagaaljecel,1
dagaaljeclaan,1
dagaaljeclaansho,1
dagaaljooji,1
dagaaljoojin,1
dagaaljoojis,1
dagaalka,19
dagaalkaan,1
dagaalkii,6
dagaalkiyo,9
dagaalkoo,1
dagaalkow,3
dagaallama,3
dagaallamaan,1
dagaallamayo,1
dagaallami,3
dagaallamid,8
dagaallamo,26
dagaallan,2
dagaallanta,1
dagaalo,3
dagaaloo,1
dagaalyahan,2
dagaan,5
dagaaniyo,1
dagaanoo,5
dagaar,3
dagaashaa,3
dagaashan,2
dagagan,3
dagaggoo,1
dagal,5
dagalama,3
dagalkaad,3
dagan,16
daganaanta,1
daganaantu,1
daganduug,2
daganduugid,1
dagane,3
daganee,1
dagani,1
daganida,3
daganine,3
dagarasoon,1
dagarka,1
dagata,1
dagay,85
dagayaa,11
dagayaan,1
dagayee,3
dagayn,5
dagayoo,13
dagaysaa,3
dage,1
dageene,1
dageeniiye,3
dageeynaa,3
dagey,17
dageyn,1
daggaayaan,1
daghaaliy,3
dagi,21
dagid,2
dagiigaxasho,1
dagiigix,1
dagiigoxo,1
dagiiranka,3
dagiisii,1
dagimaayo,1
dagin,7
dagine,3
dagmadaan,3
dagmadaydu,1
dagmadeena,1
dagmadii,3
dagmaduu,3
dagmid,1
dagnaan,1
dagnaansho,1
dagniin,1
dagnoon,1
dago,33
dagoo,43
dagtoo,1
daguug,1
daguugan,1
dah,2
dahaa,1
dahaar,4
dahaaran,11
dahaarantahay,4
dahaaranyahay,1
dahaarid,5
dahaarnaan,1
dahaaro,3
dahab,158
dahaba,5
dahabee,2
dahabey,3
dahabi,3
dahabka,41
dahabkana,3
dahabkii,5
dahabkoo,1
dahabku,1
dahabkuna,3
dahabo,8
dahaboo,1
dahabooy,11
dahan,1
dahar,2
dahasho,1
dahay,2
daheenaa,3
daheer,3
dahiiree,1
dahir,127
dahnaan,1
dahnaansho,1
daho,1
dahsoon,4
dahsoonaan,1
dahsoonaansho,1
daiman,1
dain,1
daji,3
dajin,1
dajina,1
dajinta,1
dajisaan,5
dajisee,1
dajisiiyo,1
dajiya,5
dajiyay,3
dajiyo,1
dakaa,1
dakaaantee,1
dakaama,1
dakaamayaa,1
dakaamayee,1
dakaamid,2
dakaamine,1
dakaamo,1
dakaan,2
dakaantee,1
dakaantoo,1
dakanada,1
dakanadu,1
dakanaduug,1
dakanaduugid,1
dakane,2
dakaniyo,1
dakano,9
dakaynaa,1
dakaysaa,11
dakee,2
dakeeya,1
dakeeyee,3
dakeynaa,1
dakhaakhul,3
dakhal,1
dakhalka,2
dakhar,3
dakharada,3
dakharadii,3
dakharadu,1
dakhariyo,1
dakharka,3
dakharkii,7
dakharkiisa,3
dakharo,1
dakhli,6
dakhliga,16
dakhligii,4
dakhramid,1
dakhranaan,1
dakhranaansho,1
dakhrid,1
dakhriga,1
dakhrigaad,1
dakiyo,1
dal,123
dala,4
dalaabay,1
dalaabid,5
dalaaf,2
dalaafid,1
dalaafsan,1
dalaafsanaan,1
dalaafsanaansho,1
dalaalima,3
dalaalimadaa,1
dalaalimida,3
dalaalimo,11
dalaandal,1
dalaandalan,1
dalaandalnaan,1
dalaandalnaansho,1
dalaaq,4
dalaaqid,2
dalaaqo,1
dalaaw,3
dalab,24
dalabaabidhaaye,3
dalabkooda,1
dalableh,1
dalabsaduu,1
dalacaad,7
dalacin,1
dalag,9
dalaga,3
dalagan,1
dalagga,18
dalaggeddi,1
dalaggeddin,1
dalaggeddis,1
dalagii,1
dalagyada,2
dalagyo,3
dalal,10
dalalka,17
dalambaabbi,1
dalambaabbin,1
dalambaabbiyid,2
dalambaabi,1
dalan,1
dalanbaabi,9
dalanbaabidaadii,1
dalanbaabiyaa,1
dalanbaagigaagii,1
dalandal,2
dalandalid,1
dalandool,2
dalandoolid,1
dalandoolli,1
dalandoolyo,1
dalane,1
dalankac,4
dalankacee,1
dalankicid,1
dalaq,3
dalasad,1
dalasasho,2
dalasi,1
dalasigee,1
dalaso,1
dalaw,2
dalawada,1
dalaxaada,1
dalay,1
dalayl,1
dalayoo,1
dalays,5
dalbaayee,1
dalbaday,16
dalballaarsi,2
dalbasho,4
dalbid,1
dalbo,4
dalcad,1
daldaalyee,1
daldaalyo,1
daldal,5
daldala,1
daldalaad,1
dąldalan,3
daldalid,7
daldalnaan,2
daldalnaansho,1
daldalo,4
daldalool,7
daldaloola,1
daldalooli,2
daldaloolid,1
daldaloolin,3
daldaloolis,1
daldaloollada,1
daldaloolo,2
daldoorsaday,7
dalee,1
daleed,1
daleedahay,1
daleedkiyo,3
daleel,1
daleelaha,3
daleelsadey,3
daleyliyo,3
dalid,2
daliig,18
daliigid,4
daliigo,11
daliigyo,1
daliil,8
daliili,2
daliilinaayo,1
daliilkii,1
daliilyada,1
daliilyaha,1
daliiq,1
daliiqan,1
daliiqnaan,1
daliiqnaansho,1
daliishad,1
daliishaday,1
daliishasho,1
daliisho,1
daline,3
dalka,181
dalkaaga,1
dalkaagan,1
dalkaagii,1
dalkayga,7
dalkaygii,1
dalkaygiyo,1
dalkayguba,1
dalkeena,17
dalkeenaa,1
dalkeenana,3
dalkeenii,19
dalkeeniina,3
dalkeeniyo,3
dalkeenoo,1
dalkeenu,3
dalkeeygii,1
dalkeyga,17
dalkeygaay,3
dalkeygii,3
dalkeygow,5
dalkii,29
dalkiina,1
dalkiisa,11
dalkiisii,2
dalkiyo,1
dalkooda,1
dalkoodana,1
dalkoodii,1
dalkow,3
dalku,6
dalla,1
dallaal,7
dąllaalid,1
dallaalin,1
dallaallimee,1
dallaallimo,3
dallaalnimo,2
dallaasho,1
dallaayad,2
dallac,2
dallacaad,1
dallacsii,1
dallacsiin,1
dallacsiis,1
dallad,2
dallahelay,1
dallal,1
dallan,2
dallayso,1
dallee,1
dalleen,1
dalleensan,1
dalleensanaan,1
dalleensanaansho,1
dallici,1
dallicid,1
dalluug,2
dalmaasheeye,3
dalmar,7
dalmaroow,3
dalmarow,33
dalool,48
daloola,23
daloolaan,1
daloolaba,3
daloolada,3
daloolay,1
daloolee,1
dalooli,2
daloolid,1
daloolin,9
daloolinta,1
dalooliye,1
dalooliyo,5
daloolka,10
daloolku,1
daloollada,5
daloollo,5
daloolo,2
daloosha,22
dalooshama,1
dalooshamay,1
dalooshamid,1
dalooshan,5
dalooshay,2
dalooshnaan,4
dalooshnaansho,1
dalooshoo,1
dalow,2
dalqad,1
dalqada,6
dalqalatada,1
dalqami,1
dalqamid,3
dalqan,4
dalqe,1
dalqo,1
dalsan,7
dalsana,1
dalsaney,1
dalsankii,3
dalshisheeye,1
daltabyeysan,1
daltabyeysnaan,1
daltabyeysnaansho,1
daltabyo,1
daltabyoo,1
daluun,3
daluuniyo,3
dalwanagsaneey,1
dalwi,1
dalxiis,15
dalxiisaa,3
dalxiisee,3
dalxiiska,6
dalxiiskii,1
dalxiiskiyo,1
dalxiisku,1
dalxiisne,1
dalxiisnee,13
dalxiisoo,3
dalxiisyoo,5
dalyaqaan,2
dam,13
dama,7
damaaaci,1
damaaci,3
damaan,1
damaano,3
damaashaad,15
damaashaadid,2
damaashaadka,1
damac,83
damaca,1
damacbaa,1
damacdaa,3
damacday,17
damacdee,1
damacdey,1
damacdiyo,1
damacdo,1
damacdoo,1
damacdooy,1
damaceygii,1
damaciin,1
damaciyo,3
damacna,3
damacooduna,1
damacsan,1
damacsanaa,1
damacsanaan,1
damacsanaansho,1
damacu,3
damal,23
damalada,3
damalka,1
damalkoo,3
damaloo,1
damantii,3
damaq,4
damaqdayee,3
damaqdayoo,1
damaqdee,11
damaqdeyee,3
damaqdo,1
damaqeeda,3
damaqyoo,1
damashaad,3
damashaadkan,3
damashaadkii,1
damasheeda,3
damashida,1
damashii,1
damashuduna,3
damay,1
damayniyo,1
damaynoo,1
dambaab,2
dambaabas,1
dambaabasad,1
dambaabasasho,1
dambaabaso,1
dambaabi,1
dambaabid,1
dambaabin,1
dambaabine,9
dambaabis,1
dambaabsii,1
dambaabsiin,1
dambaaji,1
dambaajin,1
dambar,15
dambari,1
dambarin,1
dambaris,1
dambarka,2
dambarsad,1
dambarsaday,1
dambarsame,2
dambarsasho,2
dambarsi,1
dambarso,1
dambas,25
dambasame,1
dambasayn,1
dambasee,2
dambaska,2
dambaskii,3
dambasoobid,1
dambasow,2
dambaxir,1
dambaxiran,1
dambaxirnaan,1
dambaxirnaansho,1
dambayn,2
dambaynta,1
dambaysa,14
dambaysaa,7
dambaysada,1
dambaysee,5
dambaysii,1
dambe,126
dambee,1
dambeed,7
dambeedka,1
dambeeeyee,1
dambeetana,3
dambeeto,2
dambeeya,27
dambeeyaa,5
dambeeyaan,3
dambeeyana,1
dambeeyay,4
dambeeye,1
dambeeyee,9
dambeeyey,1
dambeeyiyo,1
dambeeyo,4
dambena,5
dambeyay,1
dambeyn,1
dambeyne,3
dambeynine,1
dambeysa,21
dambeysaaye,1
dambeysayo,1
dambeysee,5
dambeysey,1
dambeyso,3
dambi,32
dambibaa,1
dambidhaaf,1
dambidhaafid,1
dambiga,5
dambigaa,3
dambigiid,1
dambiil,5
dambiilaha,1
dambiile,1
dambiilo,1
dambitir,2
dambitirid,1
dambiyaad,1
dambiyo,9
dambow,1
dambushteyda,1
damci,2
damcid,7
damcin,1
damcis,1
dameer,34
dameerabilayn,1
dameerabilee,2
dameeradhaglayn,2
dameeradhaglee,2
dameeradhuuji,1
dameeradhuujo,1
dameeraha,6
dameerajoogeen,1
dameerjoog,1
dameerka,4
dameerkii,5
dameero,6
dameerow,1
dameeruhu,3
dameeyninee,1
dameyn,1
dameyniyo,1
dami,3
damid,2
dąmiin,4
damiinad,2
damiinid,1
damiinnimo,2
damiino,1
damiintaa,1
damiir,20
damiirkaygaan,1
damiirkiina,1
damiirkiinii,1
damiirkuna,1
damin,17
damis,1
damisaan,5
damiyoo,3
dammaad,1
dammaadsan,1
dammaadsanaan,1
dammaadsanaansho,1
dammaan,1
dammaanad,3
dammaanasho,1
dammaano,1
damman,1
dammanaan,1
dammanaansho,1
dammane,1
damme,1
dammeer,2
dammiin,6
dammiinad,2
dammiinasho,8
dammiinid,2
dammiinnimo,2
dammiino,4
damn,3
damqaaya,1
damqaayaa,1
damqaayaan,3
damqaayana,1
damqaayee,1
damqad,1
damqada,3
damqadaa,9
damqadaan,1
damqaday,3
damqadaye,1
damqadayoo,1
damqadey,3
damqan,5
damqanayaa,3
damqanayaan,5
damqanayee,5
damqanayiyo,1
damqane,1
damqaneynine,1
damqashada,13
damqashadii,1
damqashii,1
damqasho,1
damqaysa,1
damqaysoo,1
damqeeysee,1
damqeysee,1
damqi,1
damqid,2
damqin,1
damqinayaan,1
damqinee,3
damqnayoo,1
damqo,2
damqoo,15
damrad,1
damradee,1
dams,1
damtan,1
damuuji,1
damuumiyayaashee,1
damuuqsad,1
damuuqsasho,2
damuuqsi,1
damuuqso,1
dan,194
dana,3
danaagax,1
danaani,3
danaanin,3
danaano,2
danaanyid,1
danab,61
danabaysan,2
danabaysnaan,1
danabaysnaansho,1
danabee,1
danabeed,11
danabeedka,2
danabka,23
danabku,1
danabneg,2
danabow,1
danabsoocid,1
danabsoocidda,1
danabsoociddu,2
danagax,1
danahana,1
danahay,1
danaheeda,1
danaheey,1
danahoo,3
danahooda,2
danan,2
dananayoo,5
dananey,3
dananid,1
danaq,8
danayn,4
danaynayn,3
danaynayo,1
danaysad,1
danaysan,1
danaysasho,3
danaysatayee,1
danaysi,2
danaysnaan,1
danaysnaansho,1
danayso,1
danba,7
danbaa,7
danbaan,7
danbaayee,7
danbarkiisu,1
danbarsadey,3
danbarsame,1
danbaysee,1
danbaysiyo,3
danbe,6
danbeba,7
danbeetaa,1
danbeetiyo,3
danbeeyaa,19
danbeeyana,1
danbeeyee,5
danbeeyiyo,1
danbeeyo,1
danbeeysa,1
danbena,3
danbeyn,3
danbeynine,1
danbeysii,1
danbeyso,3
danbeytiyo,1
danbiga,5
danbigaoo,3
danbigii,1
danbigiisu,3
danbiil,1
danbiyo,1
danboo,1
danbuu,1
dandaami,2
dandaamin,1
dandaansad,2
dandaansasho,4
dandaansi,1
dandaansiyo,1
dandaanso,2
dandaradan,1
dandarraysan,1
dandarraysnaan,1
dandarraysnaansho,1
dandarree,1
dandarro,3
danduul,1
dane,3
danee,1
daneeyaa,3
daneeyaan,1
daneeyo,3
daneynayaa,1
daneysigaan,1
daneyste,1
daneystow,1
danfadhi,1
danfariisad,1
danfariisasho,3
danfariisi,2
danfariiso,2
dangaraaroo,1
dangee,1
dangeyn,1
dangeys,1
dangeysan,1
dangeysnaan,1
dangeysnaansho,1
dangiig,4
dangiigid,2
dangiigsad,1
dangiigsasho,5
dangiigsi,1
dangiigso,2
dangow,1
dani,50
danihii,3
danihiisa,3
daniigto,1
daniyo,3
danjire,2
dankaan,1
danlaaan,1
danlahelay,1
danleedahay,3
danleeyahay,10
dannaago,1
dannaanni,2
dannaanniyid,1
dannabe,1
dannabee,1
dannabo,1
danni,1
dano,13
danood,1
danoodbaa,3
danoodiyo,7
danqa,1
danqaab,2
danqaabid,2
danqaabo,1
danqaare,1
danqaaro,1
danqad,1
danqasho,7
danqi,1
danqid,7
danqin,3
danqo,4
dansan,2
dansanaan,3
dansanaansho,1
danseeg,2
danseegid,1
danseeji,1
danseejin,1
danseejis,1
dansheegad,1
dansheegasho,1
dansheego,1
dansheegtoo,3
danta,41
dantaa,7
dantaad,3
dantaada,11
dantaan,1
dantay,23
dantaydii,3
danteeda,1
danteedaba,1
danteediyo,3
danteena,15
danteenana,1
danteenii,7
danteenoo,3
danteeyda,3
danteeydiiyeee,1
danteeydiyo,1
danteydana,1
danteydii,5
danteydiyo,5
danti,1
dantii,7
dantiisa,4
dantiisee,7
dantiisu,3
dantiisuna,7
dantiyo,1
dantoo,1
dantooda,1
dantu,23
dantuna,3
danuunicin,3
danwadaag,1
danyar,4
danyaraan,2
danyari,1
danyaro,2
danyartiyo,1
dao,35
daoo,3
daood,1
daow,1
daqaa,1
daqan,2
daqaqamid,1
daqaqan,2
daqar,8
daqarasoon,2
daqarkiisu,1
daqarsoon,1
daqay,2
daqiiji,1
daqiijin,1
daqiiq,1
daqiiqad,3
daqiiqadood,3
daqiiqo,7
daqmad,1
daqmasho,1
daqmi,1
daqmid,1
daqmin,1
daqmo,1
daqnad,1
daqni,1
daqnid,1
daqno,1
daqo,1
daqramid,1
daqran,4
daqranaan,3
daqranaansho,1
daqrid,1
daqsi,1
dar,93
dara,16
daraa,6
daraad,5
daraada,1
daraadaa,103
daraaddaa,3
daraaddii,9
daraadee,3
daraadeed,13
daraadey,7
daraadi,1
daraadii,5
daraadood,1
daraamo,1
daraan,17
daraanine,1
daraantay,7
daraantee,3
daraarbaan,1
daraasaadka,2
daraasad,3
daraasado,1
daraaso,3
daraawiish,1
daraay,1
daraaya,1
darab,2
darabdhaqasho,1
darabdhaqo,1
darabqaadasho,1
darabqaado,2
darada,1
daradaa,7
daradaada,1
daradu,1
daraf,5
darafyda,3
daragad,1
daraha,1
darajaa,1
darajaan,1
darajada,22
darajadii,3
darajadiisu,2
darajaduu,3
darajee,2
darajees,1
darajiyo,1
darajo,28
darajona,1
darajoo,1
daran,325
darana,3
daranaa,9
daranahay,5
darandar,1
darandoori,3
darandooriyaa,1
darandoorri,3
darandoorrin,1
darandoorris,1
darandoorriyid,3
darane,11
daranee,5
daraneey,11
daraneeyn,1
darangee,1
darani,3
daranoo,1
daranoow,3
daranse,3
daranta,18
darantahay,9
darantee,13
darantii,1
darantuna,3
daranyadu,3
daranyahay,5
daranyoo,1
darar,4
dararaa,5
dararaan,1
dararamle,9
dararan,11
darareen,1
darari,1
dararid,3
darariyo,1
dararo,1
dararoo,3
dararsan,3
dararso,1
dararta,3
darartay,3
darartee,3
darase,1
darasho,2
daray,70
daraya,5
darayaa,11
darayada,1
darayadan,1
darayee,9
darayeey,1
darayga,1
daraygaa,3
daraygiisa,3
darayoo,1
darba,1
darbaal,3
darbad,3
darbadee,1
darban,3
darbanaan,1
darbanaansho,1
darbee,1
darbi,109
darbidab,1
darbieebadii,3
darbiga,3
darbijii,1
darbima,11
darbin,1
darbiwaayaha,3
darbiyada,1
darbiyadaan,3
darbiyo,7
darbo,2
darbuugad,1
darbuush,1
dardaaraba,1
dardaaran,21
dardaarana,7
dardaarane,3
dardaarankii,3
dardaaranoo,3
dardaarayaa,5
dardaarmayaa,5
dardaarmee,25
dardaarmoo,3
dardaarweri,1
dardaarwerin,1
dardaarweris,1
dardar,8
dardaran,7
dardaray,6
dardarey,3
dardargelinta,1
dardarid,10
dardarmid,2
dardarnaan,7
dardarsan,1
dardhaaf,2
dardhaafi,1
dardhaafid,1
dardhaafin,1
dardhaafis,1
dardhad,1
dardhasho,1
dardhatoo,1
dardhaysan,1
dardhaysnaan,1
dardhaysnaansho,1
dardho,1
dare,1
daree,4
dareema,1
dareemaa,7
dareemaan,3
dareemaba,3
dareemada,13
dareemadii,1
dareemadu,7
dareemaha,2
dareemay,8
dareemaya,3
dareemayaa,1
dareemayaal,2
dareemayn,13
dareeme,1
dareemee,3
dareemekiimikaad,1
dareemey,1
dareemi,5
dareemid,121
dareemin,5
dareemiye,1
dareemiyo,3
dareemo,43
dareemuu,1
dareen,174
dareenka,34
dareenkaa,7
dareenkaad,3
dareenkaaga,5
dareenkaagiibaa,3
dareenkaay,1
dareenkan,1
dareenkayga,1
dareenkaygaan,1
dareenkaygii,1
dareenkaygu,3
dareenkee,5
dareenkeed,1
dareenkeena,1
dareenkeeyga,1
dareenkeyga,21
dareenkeygii,3
dareenkii,3
dareenkiina,1
dareenkiisa,6
dareenkiisaan,3
dareenkiyo,15
dareenkuna,3
dareenlaay,1
dareenli,1
dareenmootiye,1
dareensad,1
dareensan,3
dareensanaan,1
dareensanaansho,1
dareensasho,2
dareensi,1
dareensii,1
dareensiin,3
dareenso,1
dareentaa,1
dareentay,1
dareentey,1
dareento,7
dareentoo,3
dareenwadaha,6
dareenwadayaasha,2
dareenwade,11
dareenwadka,8
dareenwadku,1
dareer,4
dareera,1
dareeraha,9
dareeray,1
dareerayaashu,1
dareere,51
dareeri,2
dareerid,5
dareerin,7
dareerinoo,1
dareeris,1
dareerkeeda,1
dareero,1
dareersad,1
dareersasho,3
dareersho,1
dareerso,3
dareertey,5
dareewal,1
dareeyee,7
dareeyey,3
dareeyoo,5
darejeenayoo,1
darenwadka,1
darey,9
dareynaa,3
dareynkaygu,3
darfac,1
darfaha,4
darfi,1
dargad,1
dargashabeel,1
dari,7
darib,1
darid,44
darida,1
daridda,2
dariiq,16
dariiqa,2
dariiqaan,3
dariiqad,6
dariiqada,4
dariiqadda,15
dariiqdii,1
dariiqeeda,3
dariiqii,7
dariiqo,6
dariiqooyinka,4
dariiquna,1
dariiqyada,7
dariir,1
dariiran,1
dariirnaan,1
dariirnaansho,1
dariishad,9
dariishadaha,1
darin,26
dariribaa,1
daris,42
darisaan,1
darisay,3
darisee,1
darisiyo,1
dariskaaga,1
dariskana,1
dariskeey,3
dariskena,1
dariskii,1
dariskiyo,3
darisku,1
darisnaa,7
darisnimadana,1
darisnimo,3
darisoo,7
daristahay,1
daristahey,3
daristee,7
daristiine,3
daristoo,3
dariye,1
darjada,1
darka,9
darkee,3
darkeygaan,3
darkii,3
darmaamada,1
darmaan,51
darmaanadii,1
darmaantaan,1
darmad,1
darmada,3
darmasho,1
darmi,1
darmid,2
darmo,1
darmuusiyo,1
darnaa,9
darnaaday,1
darnaadaye,1
darnaan,7
darnaane,1
darnaansho,1
darnaatana,1
darnaatee,3
darnaatiyo,1
darnahay,1
darnayd,1
darnee,3
darneeyd,7
darni,1
darno,2
daro,66
daroo,3
daroof,1
darooraan,1
darooraha,3
darooreyn,1
daroori,10
darooriyo,3
darooro,3
darooroo,1
daroorsaday,1
daroortiyo,3
darooryaamid,1
darooryaan,2
darooryid,1
darraabid,2
darraad,1
darraan,1
darran,2
darraw,2
darrayn,1
darraysad,1
darraysasho,5
darraysi,1
darrayso,2
darreeyoo,1
darreyn,2
darrib,1
darro,40
darroor,1
darrooraa,3
darroori,1
darrow,2
darsaa,1
darsaane,3
darsad,1
darsada,1
darsaday,11
darsado,18
darsama,2
darsamid,1
darsan,10
darsanaan,1
darsanaansho,1
darsasho,11
darsatay,2
darsay,3
darshad,1
darsi,8
darsin,3
darso,2
darta,1
dartaa,115
dartaabaa,1
dartaabaan,3
dartaabey,1
dartaadan,1
dartaayo,3
dartaayoo,1
dartaayoon,1
dartay,7
darteed,133
darteedna,1
darteedoo,1
dartey,1
darti,2
dartii,35
dartiin,3
dartiis,24
dartiisee,3
darto,1
dartood,3
dartooda,1
daruuntuba,7
daruur,70
daruur4,1
daruuraa,1
daruurad,1
daruuraha,47
daruurahaa,1
daruuran,1
daruurasho,1
daruuray,1
daruurayso,1
daruurbuu,1
daruuree,1
daruureed,5
daruureey,1
daruuri,1
daruuriga,2
daruurihi,3
daruurina,1
daruuriyo,17
daruurliyo,3
daruurnaan,1
daruurnaansho,1
daruuro,16
daruuroo,1
daruurreed,1
daruurta,7
daruurtaan,1
daruurtaay,3
daruurtee,5
daruurti,1
daruurtii,5
daruurtiyo,9
daruurto,1
daruurtu,1
daruuruhu,16
daruuruu,5
daruuruuhu,3
daruuryahay,3
daruus,1
daruustii,1
darwaalaniyee,1
darwiish,1
darwiishkii,3
darwin,1
darxad,1
darxadee,1
darxuma,1
darxumaa,1
darxumada,3
darxumadan,1
darxumaysad,1
darxumaysan,1
darxumaysanahoo,1
darxumaysasho,2
darxumaysi,1
darxumaysnaan,1
darxumaysnaansho,1
darxumayso,1
darxumee,1
darxumey,1
darxumi,1
darxumo,13
darxumoo,3
darxumooy,1
daryaala,5
daryaamaaha,1
daryaamid,1
daryaan,2
daryeeblaan,1
daryeel,32
daryeela,1
daryeelaa,5
daryeelaan,5
daryeelasho,1
daryeelayaa,1
daryeelbaan,1
daryeeli,5
daryeelid,7
daryeelin,1
daryeeliyo,1
daryeelka,2
daryeelkaaga,3
daryeelkana,1
daryeelkaygaa,1
daryeelkeed,1
daryeelkeedu,1
daryeelkiisu,3
daryeelkiyo,1
daryeelkoodu,1
daryeelna,1
daryeelnaa,1
daryeelnaoo,1
daryeeloo,15
daryeelshoo,3
daryeeshaa,3
daryeeshay,1
daryeeshayee,1
daryeeshee,7
daryeesheen,7
daryeeshide,1
daryeesho,1
daryeeshoo,13
daryool,3
dashay,2
dastuur,3
dastuuri,1
dastuurka,4
datay,2
dauus,1
daw,47
dawa,5
dawaad,4
dawaaf,2
dawaafaa,1
dawaafay,1
dawaafayaaye,3
dawaafi,2
dawaafid,1
dawaafin,1
dawaafsii,1
dawaafsiin,1
dawaaftahey,3
dawaali,1
dawaaliyo,1
dawaansad,1
dawaansasho,5
dawaansi,1
dawaanso,2
dawaarad,1
dawaarle,2
dawaarwale,1
dawacada,10
dawacamadow,1
dawaco,6
dawada,21
dawadana,1
dawadayda,3
dawadaydaay,1
dawadeed,3
dawadeeda,3
dawadeedii,7
dawadeedu,3
dawadey,5
dawadeydiiyey,1
dawadii,47
dawadiisa,7
dawadiisu,7
dawakh,2
dawakhdee,1
dawakhi,2
dawakhid,3
dawakhin,1
dawakhsan,1
dawakhsanaan,1
dawakhsanaansho,1
dawan,3
dawar,3
dawari,4
dawarid,3
dawarin,3
dawarnaa,1
dawarsad,1
dawarsasho,5
dawarshee,1
dawarsi,2
dawarso,2
dawax,1
dawayneyn,7
dawaynin,3
dawaynta,1
dawaysaa,3
dawaysaay,1
dawbaa,5
dawcoonaa,1
dawdabi,1
dawdar,4
dawdaran,1
dawdarid,3
dawdarnaan,3
dawdarnaansho,1
dawdarni,1
dawdarnimo,1
dawdarno,1
dawdarroo,1
dawdarrood,1
dawdawle,2
dawdawlee,1
dawee,24
daweeraha,3
daweeya,5
daweeyaa,11
daweeye,1
daweeyee,11
daweeyn,1
daweeyo,24
daweeyoo,3
daweri,1
dawerin,1
dawersiyo,1
daweyn,35
daweynaan,2
daweynaansho,1
daweynaha,7
daweyneyn,1
daweyni,2
daweynin,5
daweynkaraa,1
daweynkarayee,1
daweynoo,3
daweysaa,5
daweysaay,1
daweysad,1
daweysasho,1
daweysi,1
daweysid,7
daweysii,1
daweysiin,1
daweyso,1
dawga,12
dawgaaga,3
dawgalay,5
dawgaley,1
dawgashiyo,1
dawgee,3
dawgeed,3
dawgeena,3
dawggal,2
dawggelid,1
dawgii,1
dawgoo,1
dawi,1
dawikhi,1
dawikhid,1
dawikhin,1
dawin,1
dawirsigaad,1
dawis,1
dawiyo,1
dawlad,33
dawlada,26
dawladaha,24
dawladda,34
dawladdu,9
dawladeed,16
dawladii,2
dawladnimo,6
dawlado,4
dawladood,1
dawladu,3
dawli,4
dawlidnimaa,1
dawlidnimadii,5
dawlidnimo,5
dawliga,1
dawlin,1
dawlis,4
dawliska,3
dawn,1
dawo,163
dawoobayn,1
dawoobid,1
dawoobo,1
dawooboo,1
dawooy,21
dawooyin,2
dawooyinka,1
dawow,1
dawoy,9
dawr,2
dawri,8
dawrid,2
dawrin,1
dawriyaan,1
dawriyo,1
dawyada,1
dawyo,5
daxal,1
daxalaysad,1
daxalaysasho,3
daxalaysi,1
daxalayso,1
daxalka,1
day,395
daya,17
dayaa,7
dayaafad,2
dayaafadi,1
dayaafadin,1
dayaal,41
dayaamid,3
dayaan,10
dayaanoo,1
dayaantiyo,3
dayaarad,2
dayaaradaha,4
dayaaradda,3
dayaaradi,1
dayaay,3
dayaayee,7
dayaayeey,11
dayaba,5
dayac,31
dayaca,3
dayacaa,1
dayacan,5
dayacay,2
dayacdee,1
dayacee,1
dayacid,1
dayacnaa,1
dayacnaan,3
dayacnaansho,1
dayacnaanta,1
dayacsan,2
dayacsanaan,1
dayacsanaansho,1
dayactir,1
dayactiran,1
dayactirnaan,1
dayactirnaansho,1
dayacɵr,4
dayacɵrka,3
dayan,5
dayaoo,3
dayar,2
dayaraan,4
dayaraansho,1
dayari,1
dayaro,2
dayartan,1
dayarteena,1
dayartu,1
dayartuna,7
dayasha,3
dayashada,3
dayasho,4
dayax,96
dayaxa,97
dayaxaa,3
dayaxaba,3
dayaxana,7
dayaxdiin,1
dayaxeed,2
dayaxeena,3
dayaxii,15
dayaxiyo,7
dayaxna,1
dayaxoo,21
dayaxoon,1
dayaxu,20
dayaxuna,5
dayay,5
dayayaa,3
dayayaane,1
dayaynaa,1
dayaysaa,5
dayaysaaye,3
dayaysnaayoo,1
dayd,3
dayday,5
daydayaa,13
daydayaayaan,1
daydayaayaay,3
daydayaayoo,3
daydaydiyo,3
daydayee,1
daydayi,3
daydayo,1
daydayoo,19
daydii,1
daydo,1
daye,1
dayee,1
dayeeysaa,3
dayey,11
dayeynin,1
dayeysan,1
dayeysii,1
dayeysnaan,1
dayeysnaansho,1
dayi,1
dayici,5
dayicid,2
dayicin,3
dayid,8
dayin,17
dayinoo,1
dayixiyo,3
dayiyo,3
dayma,3
daymaad,1
daymada,63
daymadaa,1
daymadaadaa,1
daymadeedii,1
daymadiisa,1
daymadoodana,1
daymadu,1
daymii,1
daymo,17
daymoo,2
daymoohaayee,11
dayn,98
daynaa,5
daynaamiko,1
daynaya,2
daynayn,1
daynaynin,1
daynayo,2
daynba,1
dayneyn,3
dayneyne,3
dayneyninow,3
dayniyo,3
daynlaa,1
dayo,43
dayoo,23
dayoobaan,1
dayoobay,7
dayoobee,1
dayoobey,1
dayoobid,4
dayooboo,1
dayoom,1
dayoowdaay,1
dayow,6
dayowdee,1
dayowyoo,3
dayr,63
dayradaadaa,5
dayradhaaf,1
dayran,3
dayrcadkiisuu,1
dayreed,8
dayreyn,3
